EXP044698	None	Homo sapiens	430	HepG2 (hepatoblastoma)	READS055974; READS055975; READS055976; READS055977	ALIGNS049780	PEAKS044685	GSE105576	ENCSR356ECR	EXP044671	430	HepG2 (hepatoblastoma)	READS055908; READS055909	ALIGNS049753	GSE106027	ENCSR867VPL
EXP035906	ZN554_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039100; READS039101	ALIGNS040782	PEAKS038760	GSE76494	None							
EXP035907	ZN329_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039102; READS039103	ALIGNS040783	PEAKS038761	GSE76494	None							
EXP035908	ZN547_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039104; READS039105	ALIGNS040784	PEAKS038762	GSE76494	None							
EXP035909	ZSC29_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039106	ALIGNS040785	PEAKS038763	GSE76494	None							
EXP035910	ZN595_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039107; READS039108	ALIGNS040786	PEAKS038764	GSE76494	None							
EXP035911	ZNF34_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039109; READS039110	ALIGNS040787	PEAKS038765	GSE76494	None							
EXP035912	ZFP82_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039111; READS039112	ALIGNS040788	PEAKS038766	GSE76494	None							
EXP035913	OSR2_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039113; READS039114	ALIGNS040789	PEAKS038767	GSE76494	None							
EXP035914	ZN513_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039115; READS039116	ALIGNS040790	PEAKS038768	GSE76494	None							
EXP035915	ZN454_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039117; READS039118	ALIGNS040791	PEAKS038769	GSE76494	None							
EXP035916	GLIS1_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039119; READS039120	ALIGNS040792	PEAKS038770	GSE76494	None							
EXP035917	ZN784_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039121; READS039122	ALIGNS040793	PEAKS038771	GSE76494	None							
EXP035918	ZN563_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039123; READS039124	ALIGNS040794	PEAKS038772	GSE76494	None							
EXP035919	ZN596_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039125; READS039126	ALIGNS040795	PEAKS038773	GSE76494	None							
EXP035920	ZN418_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039127; READS039128	ALIGNS040796	PEAKS038774	GSE76494	None							
EXP035921	ZN384_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039129; READS039130	ALIGNS040797	PEAKS038775	GSE76494	None							
EXP035922	TF3A_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039131; READS039132	ALIGNS040798	PEAKS038776	GSE76494	None							
EXP035923	ZN669_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039133; READS039134	ALIGNS040799	PEAKS038777	GSE76494	None							
EXP035924	ZN419_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039135; READS039136	ALIGNS040800	PEAKS038778	GSE76494	None							
EXP035925	ZSC31_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039137; READS039138	ALIGNS040801	PEAKS038779	GSE76494	None							
EXP035926	ZN778_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039139; READS039140	ALIGNS040802	PEAKS038780	GSE76494	None							
EXP035927	ZIM3_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039141; READS039142	ALIGNS040803	PEAKS038781	GSE76494	None							
EXP035928	ZBT18_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039143; READS039144	ALIGNS040804	PEAKS038782	GSE76494	None							
EXP035929	ZN184_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039145; READS039146	ALIGNS040805	PEAKS038783	GSE76494	None							
EXP035930	SCRT1_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039147; READS039148	ALIGNS040806	PEAKS038784	GSE76494	None							
EXP035931	ZN341_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039149; READS039150	ALIGNS040807	PEAKS038785	GSE76494	None							
EXP035932	ZN436_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039151; READS039152	ALIGNS040808	PEAKS038786	GSE76494	None							
EXP035933	None	Homo sapiens	421	HEK293 (embryonic kidney)	READS039153; READS039154	ALIGNS040809	PEAKS038787	GSE76494	None							
EXP035934	None	Homo sapiens	421	HEK293 (embryonic kidney)	READS039155; READS039156	ALIGNS040810	PEAKS038788	GSE76494	None							
EXP035935	None	Homo sapiens	421	HEK293 (embryonic kidney)	READS039157; READS039158	ALIGNS040811	PEAKS038789	GSE76494	None							
EXP035936	None	Homo sapiens	421	HEK293 (embryonic kidney)	READS039159; READS039160	ALIGNS040812	PEAKS038790	GSE76494	None							
EXP035937	None	Homo sapiens	421	HEK293 (embryonic kidney)	READS039161; READS039162	ALIGNS040813	PEAKS038791	GSE76494	None							
EXP035938	None	Homo sapiens	421	HEK293 (embryonic kidney)	READS039163; READS039164	ALIGNS040814	PEAKS038792	GSE76494	None							
EXP035939	None	Homo sapiens	421	HEK293 (embryonic kidney)	READS039165; READS039166	ALIGNS040815	PEAKS038793	GSE76494	None							
EXP035940	None	Homo sapiens	421	HEK293 (embryonic kidney)	READS039167; READS039168	ALIGNS040816	PEAKS038794	GSE76494	None							
EXP035941	None	Homo sapiens	421	HEK293 (embryonic kidney)	READS039169; READS039170	ALIGNS040817	PEAKS038795	GSE76494	None							
EXP035942	None	Homo sapiens	421	HEK293 (embryonic kidney)	READS039171; READS039172; READS039173; READS039174	ALIGNS040818	PEAKS038796	GSE76494	None							
EXP035943	None	Homo sapiens	421	HEK293 (embryonic kidney)	READS039175; READS039176	ALIGNS040819	PEAKS038797	GSE76494	None							
EXP035944	ZN320_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039177; READS039178; READS039179; READS039180	ALIGNS040820	PEAKS038798	GSE76494	None							
EXP035945	SNAI1_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039181; READS039182; READS039183; READS039184; READS039185; READS039186	ALIGNS040821	PEAKS038799	GSE76494	None							
EXP035946	ZSC22_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039187; READS039188; READS039189; READS039190; READS039191; READS039192	ALIGNS040822	PEAKS038800	GSE76494	None							
EXP035947	EGR2_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039193; READS039194; READS039195; READS039196	ALIGNS040823	PEAKS038801	GSE76494	None							
EXP035948	ZNF22_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039197; READS039198; READS039199; READS039200; READS039201; READS039202; READS039203; READS039204; READS039205	ALIGNS040824	PEAKS038802	GSE76494	None							
EXP035949	ZNF30_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039206; READS039207; READS039208; READS039209; READS039210	ALIGNS040825	PEAKS038803	GSE76494	None							
EXP035950	TYY1_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039211; READS039212; READS039213; READS039214; READS039215; READS039216	ALIGNS040826	PEAKS038804	GSE76494	None							
EXP035951	CTCF_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039217; READS039218; READS039219; READS039220; READS039221; READS039222; READS039223; READS039224; READS039225; READS039226; READS039227; READS039228; READS039229; READS039230	ALIGNS040827	PEAKS038805	GSE76494	None							
EXP035952	ZNF41_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039231; READS039232; READS039233; READS039234; READS039235; READS039236	ALIGNS040828	PEAKS038806	GSE76494	None							
EXP035953	ZN121_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039237; READS039238; READS039239; READS039240	ALIGNS040829	PEAKS038807	GSE76494	None							
EXP035954	SP4_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039241; READS039242; READS039243; READS039244; READS039245; READS039246	ALIGNS040830	PEAKS038808	GSE76494	None							
EXP035955	ZBTB6_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039247; READS039248; READS039249; READS039250; READS039251	ALIGNS040831	PEAKS038809	GSE76494	None							
EXP035956	ZN528_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039252; READS039253; READS039254; READS039255; READS039256; READS039257	ALIGNS040832	PEAKS038810	GSE76494	None							
EXP035957	ZN680_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039258; READS039259; READS039260; READS039261	ALIGNS040833	PEAKS038811	GSE76494	None							
EXP035958	ZFP28_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039262; READS039263; READS039264; READS039265	ALIGNS040834	PEAKS038812	GSE76494	None							
EXP035959	ZN502_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039266; READS039267; READS039268; READS039269	ALIGNS040835	PEAKS038813	GSE76494	None							
EXP035960	ZFP42_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039270; READS039271; READS039272; READS039273	ALIGNS040836	PEAKS038814	GSE76494	None							
EXP035961	ZN582_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039274; READS039275; READS039276; READS039277	ALIGNS040837	PEAKS038815	GSE76494	None							
EXP035962	ZN317_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039278; READS039279; READS039280	ALIGNS040838	PEAKS038816	GSE76494	None							
EXP035963	ZN382_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039281; READS039282; READS039283; READS039284; READS039285; READS039286; READS039287; READS039288; READS039289	ALIGNS040839	PEAKS038817	GSE76494	None							
EXP035964	ZN350_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS039290; READS039291; READS039292; READS039293	ALIGNS040840	PEAKS038818	GSE76494	None							
EXP035965	None	Homo sapiens	421	HEK293 (embryonic kidney)	READS039294; READS039295; READS039296; READS039297; READS039298; READS039299	ALIGNS040841	PEAKS038819	GSE76494	None							
EXP035966	None	Homo sapiens	421	HEK293 (embryonic kidney)	READS039300; READS039301; READS039302; READS039303	ALIGNS040842	PEAKS038820	GSE76494	None							
EXP035967	None	Homo sapiens	421	HEK293 (embryonic kidney)	READS039304; READS039305; READS039306; READS039307; READS039308; READS039309	ALIGNS040843	PEAKS038821	GSE76494	None							
EXP035968	None	Homo sapiens	421	HEK293 (embryonic kidney)	READS039310; READS039311; READS039312; READS039313	ALIGNS040844	PEAKS038822	GSE76494	None							
EXP035969	None	Homo sapiens	421	HEK293 (embryonic kidney)	READS039314; READS039315; READS039316; READS039317; READS039318; READS039319	ALIGNS040845	PEAKS038823	GSE76494	None							
EXP035970	None	Homo sapiens	421	HEK293 (embryonic kidney)	READS039320; READS039321; READS039322; READS039323	ALIGNS040846	PEAKS038824	GSE76494	None							
EXP035971	None	Homo sapiens	421	HEK293 (embryonic kidney)	READS039324; READS039325; READS039326; READS039327; READS039328; READS039329; READS039330; READS039331; READS039332; READS039333	ALIGNS040847	PEAKS038825	GSE76494	None							
EXP035977	None	Homo sapiens	396	H9 (embryonic stem cells)	READS039339	ALIGNS040853	None	GSE76586	None							
EXP035982	CTCF_HUMAN	Homo sapiens	665	SK-N-SH (neuroblastoma)	READS039344	ALIGNS040858	PEAKS038831	GSE76815	None							
EXP036190	ANDR_HUMAN	Homo sapiens	71	VCaP (prostate carcinoma)	READS039648; READS039649; READS039650	ALIGNS041066	PEAKS038965	GSE79128	None							
EXP036191	ANDR_HUMAN	Homo sapiens	71	VCaP (prostate carcinoma)	READS039651; READS039652; READS039653	ALIGNS041067	PEAKS038966	GSE79128	None							
EXP036192	ANDR_HUMAN	Homo sapiens	71	VCaP (prostate carcinoma)	READS039654; READS039655; READS039656	ALIGNS041068	PEAKS038967	GSE79128	None							
EXP036193	ANDR_HUMAN	Homo sapiens	71	VCaP (prostate carcinoma)	READS039657; READS039658; READS039659	ALIGNS041069	PEAKS038968	GSE79128	None							
EXP036194	ANDR_HUMAN	Homo sapiens	71	VCaP (prostate carcinoma)	READS039660; READS039661	ALIGNS041070	PEAKS038969	GSE79128	None							
EXP036195	ANDR_HUMAN	Homo sapiens	71	VCaP (prostate carcinoma)	READS039662; READS039663	ALIGNS041071	PEAKS038970	GSE79128	None							
EXP036196	ANDR_HUMAN	Homo sapiens	71	VCaP (prostate carcinoma)	READS039664; READS039665	ALIGNS041072	PEAKS038971	GSE79128	None							
EXP036197	ERG_HUMAN	Homo sapiens	71	VCaP (prostate carcinoma)	READS039666; READS039667	ALIGNS041073	PEAKS038972	GSE79128	None							
EXP036198	ERG_HUMAN	Homo sapiens	71	VCaP (prostate carcinoma)	READS039668; READS039669	ALIGNS041074	PEAKS038973	GSE79128	None							
EXP036199	ERG_HUMAN	Homo sapiens	71	VCaP (prostate carcinoma)	READS039670; READS039671	ALIGNS041075	PEAKS038974	GSE79128	None							
EXP036200	ERG_HUMAN	Homo sapiens	71	VCaP (prostate carcinoma)	READS039672; READS039673	ALIGNS041076	PEAKS038975	GSE79128	None							
EXP036229	GCR_HUMAN	Homo sapiens	38	A549 (lung carcinoma)	READS039711; READS039712	ALIGNS041105	PEAKS038995	GSE79431	None							
EXP036230	GCR_HUMAN	Homo sapiens	38	A549 (lung carcinoma)	READS039713; READS039714	ALIGNS041106	PEAKS038996	GSE79431	None							
EXP036316	ZN618_HUMAN	Homo sapiens	10	HEK293T (embryonic kidney)	READS039843	ALIGNS041192	PEAKS039058	GSE80037	None							
EXP036339	TWST1_HUMAN	Homo sapiens	790	Tet21N (neuroblastoma)	READS039868	ALIGNS041215	PEAKS039072	GSE80151	None							
EXP036350	None	Homo sapiens	111	T47D (invasive ductal carcinoma)	READS039881; READS039882; READS039883	ALIGNS041226	None	GSE80367	None							
EXP036351	None	Homo sapiens	111	T47D (invasive ductal carcinoma)	READS039884; READS039885; READS039886; READS039887; READS039888	ALIGNS041227	None	GSE80367	None							
EXP036352	None	Homo sapiens	111	T47D (invasive ductal carcinoma)	READS039889; READS039890; READS039891; READS039892	ALIGNS041228	None	GSE80367	None							
EXP036353	None	Homo sapiens	111	T47D (invasive ductal carcinoma)	READS039893; READS039894	ALIGNS041229	None	GSE80367	None							
EXP036354	None	Homo sapiens	111	T47D (invasive ductal carcinoma)	READS039895; READS039896	ALIGNS041230	None	GSE80367	None							
EXP036355	None	Homo sapiens	111	T47D (invasive ductal carcinoma)	READS039897	ALIGNS041231	None	GSE80367	None							
EXP036358	ESR1_HUMAN	Homo sapiens	111	T47D (invasive ductal carcinoma)	READS039905; READS039906	ALIGNS041234	PEAKS039081	GSE80367	None							
EXP036359	PRGR_HUMAN	Homo sapiens	111	T47D (invasive ductal carcinoma)	READS039907; READS039908; READS039909; READS039910; READS039911; READS039912	ALIGNS041235	PEAKS039082	GSE80367	None							
EXP036360	ESR1_HUMAN	Homo sapiens	111	T47D (invasive ductal carcinoma)	READS039913; READS039914; READS039915; READS039916	ALIGNS041236	PEAKS039083	GSE80367	None							
EXP036361	PRGR_HUMAN	Homo sapiens	111	T47D (invasive ductal carcinoma)	READS039917	ALIGNS041237	PEAKS039084	GSE80367	None							
EXP036362	ESR1_HUMAN	Homo sapiens	111	T47D (invasive ductal carcinoma)	READS039918; READS039919; READS039920; READS039921; READS039922; READS039923	ALIGNS041238	PEAKS039085	GSE80367	None							
EXP036363	PRGR_HUMAN	Homo sapiens	111	T47D (invasive ductal carcinoma)	READS039924; READS039925; READS039926; READS039927	ALIGNS041239	PEAKS039086	GSE80367	None							
EXP036364	ESR1_HUMAN	Homo sapiens	111	T47D (invasive ductal carcinoma)	READS039928; READS039929; READS039930; READS039931; READS039932; READS039933; READS039934	ALIGNS041240	PEAKS039087	GSE80367	None							
EXP036365	ESR1_HUMAN	Homo sapiens	111	T47D (invasive ductal carcinoma)	READS039935	ALIGNS041241	PEAKS039088	GSE80367	None							
EXP036366	ESR1_HUMAN	Homo sapiens	111	T47D (invasive ductal carcinoma)	READS039936	ALIGNS041242	PEAKS039089	GSE80367	None							
EXP036367	ESR1_HUMAN	Homo sapiens	111	T47D (invasive ductal carcinoma)	READS039937; READS039938; READS039939; READS039940; READS039941; READS039942; READS039943; READS039944	ALIGNS041243	PEAKS039090	GSE80367	None							
EXP036371	KDM5A_HUMAN	Homo sapiens	111	T47D (invasive ductal carcinoma)	READS039953; READS039954	ALIGNS041247	PEAKS039093	GSE80593	None							
EXP036372	KDM5A_HUMAN	Homo sapiens	111	T47D (invasive ductal carcinoma)	READS039955; READS039956	ALIGNS041248	PEAKS039094	GSE80593	None							
EXP036423	RUNX1_HUMAN	Homo sapiens	516	Kasumi-1 (childhood acute myeloid leukemia with maturation)	READS040048	ALIGNS041299	PEAKS039127	GSE81321	None							
EXP036424	RUNX1_HUMAN	Homo sapiens	516	Kasumi-1 (childhood acute myeloid leukemia with maturation)	READS040049	ALIGNS041300	PEAKS039128	GSE81321	None							
EXP036440	ERR1_HUMAN	Homo sapiens	119	BT-474 (breast invasive ductal carcinoma)	READS040080	ALIGNS041316	PEAKS039134	GSE81651	None							
EXP036441	ERR1_HUMAN	Homo sapiens	119	BT-474 (breast invasive ductal carcinoma)	READS040081	ALIGNS041317	PEAKS039135	GSE81651	None							
EXP036689	MYC_HUMAN	Homo sapiens	421	HEK293 (embryonic kidney)	READS040459; READS040460; READS040461	ALIGNS041565	PEAKS039321	GSE60897	None							
EXP036693	PRDM1_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040470	ALIGNS041569	PEAKS039324	GSE61475	None							
EXP036694	PRDM1_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040471	ALIGNS041570	PEAKS039325	GSE61475	None							
EXP036696	PRDM1_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040473	ALIGNS041572	PEAKS039327	GSE61475	None							
EXP036697	CDX2_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040474	ALIGNS041573	PEAKS039328	GSE61475	None							
EXP036698	CTCF_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040475	ALIGNS041574	PEAKS039329	GSE61475	None							
EXP036699	CTCF_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040476	ALIGNS041575	PEAKS039330	GSE61475	None							
EXP036700	CTCF_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040477	ALIGNS041576	PEAKS039331	GSE61475	None							
EXP036701	CTCF_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040478	ALIGNS041577	PEAKS039332	GSE61475	None							
EXP036705	None	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040482	ALIGNS041581	PEAKS039336	GSE61475	None							
EXP036708	GATA4_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040485	ALIGNS041584	PEAKS039339	GSE61475	None							
EXP036710	GATA6_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040487	ALIGNS041586	PEAKS039341	GSE61475	None							
EXP036711	None	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040488	ALIGNS041587	PEAKS039342	GSE61475	None							
EXP036713	HNF1B_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040490	ALIGNS041589	PEAKS039344	GSE61475	None							
EXP036714	HNF4A_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040491	ALIGNS041590	PEAKS039345	GSE61475	None							
EXP036716	KLF5_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040493	ALIGNS041592	PEAKS039347	GSE61475	None							
EXP036717	KLF5_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040494	ALIGNS041593	PEAKS039348	GSE61475	None							
EXP036719	None	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040496	ALIGNS041595	PEAKS039350	GSE61475	None							
EXP036720	None	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040497	ALIGNS041596	PEAKS039351	GSE61475	None							
EXP036722	NR5A2_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040499	ALIGNS041598	PEAKS039353	GSE61475	None							
EXP036723	None	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040500	ALIGNS041599	PEAKS039354	GSE61475	None							
EXP036724	None	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040501	ALIGNS041600	PEAKS039355	GSE61475	None							
EXP036725	None	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040502	ALIGNS041601	PEAKS039356	GSE61475	None							
EXP036726	OTX2_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040503	ALIGNS041602	PEAKS039357	GSE61475	None							
EXP036727	OTX2_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040504	ALIGNS041603	PEAKS039358	GSE61475	None							
EXP036728	PAX6_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040505	ALIGNS041604	PEAKS039359	GSE61475	None							
EXP036729	PAX6_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040506	ALIGNS041605	PEAKS039360	GSE61475	None							
EXP036730	PO5F1_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040507	ALIGNS041606	PEAKS039361	GSE61475	None							
EXP036731	PO5F1_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040508	ALIGNS041607	PEAKS039362	GSE61475	None							
EXP036732	PO5F1_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040509	ALIGNS041608	PEAKS039363	GSE61475	None							
EXP036733	PO5F1_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040510	ALIGNS041609	PEAKS039364	GSE61475	None							
EXP036734	ZFP42_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040511	ALIGNS041610	PEAKS039365	GSE61475	None							
EXP036735	ZFP42_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040512	ALIGNS041611	PEAKS039366	GSE61475	None							
EXP036738	None	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040515	ALIGNS041614	PEAKS039369	GSE61475	None							
EXP036739	SMAD1_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040516	ALIGNS041615	PEAKS039370	GSE61475	None							
EXP036741	SMAD1_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040518	ALIGNS041617	PEAKS039372	GSE61475	None							
EXP036742	SMAD4_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040519	ALIGNS041618	PEAKS039373	GSE61475	None							
EXP036743	SMAD4_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040520	ALIGNS041619	PEAKS039374	GSE61475	None							
EXP036744	SMAD4_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040521	ALIGNS041620	PEAKS039375	GSE61475	None							
EXP036746	SNAI2_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040523	ALIGNS041622	PEAKS039377	GSE61475	None							
EXP036748	None	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040525	ALIGNS041624	PEAKS039379	GSE61475	None							
EXP036749	None	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040526	ALIGNS041625	PEAKS039380	GSE61475	None							
EXP036750	None	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040527	ALIGNS041626	PEAKS039381	GSE61475	None							
EXP036751	SOX2_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040528	ALIGNS041627	PEAKS039382	GSE61475	None							
EXP036752	SOX2_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040529	ALIGNS041628	PEAKS039383	GSE61475	None							
EXP036753	SOX2_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040530	ALIGNS041629	PEAKS039384	GSE61475	None							
EXP036754	SP1_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040531	ALIGNS041630	PEAKS039385	GSE61475	None							
EXP036755	SRF_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040532	ALIGNS041631	PEAKS039386	GSE61475	None							
EXP036756	SRF_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040533	ALIGNS041632	PEAKS039387	GSE61475	None							
EXP036757	SRF_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040534	ALIGNS041633	PEAKS039388	GSE61475	None							
EXP036758	SRF_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040535	ALIGNS041634	PEAKS039389	GSE61475	None							
EXP036759	STAT3_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040536	ALIGNS041635	PEAKS039390	GSE61475	None							
EXP036760	STAT3_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040537	ALIGNS041636	PEAKS039391	GSE61475	None							
EXP036764	TAL1_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040541	ALIGNS041640	PEAKS039395	GSE61475	None							
EXP036765	None	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040542	ALIGNS041641	PEAKS039396	GSE61475	None							
EXP036766	None	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040543	ALIGNS041642	PEAKS039397	GSE61475	None							
EXP036767	None	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040544	ALIGNS041643	PEAKS039398	GSE61475	None							
EXP036768	None	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040545	ALIGNS041644	PEAKS039399	GSE61475	None							
EXP036770	THA11_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040547	ALIGNS041646	PEAKS039401	GSE61475	None							
EXP036771	THA11_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040548	ALIGNS041647	PEAKS039402	GSE61475	None							
EXP036772	THA11_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040549	ALIGNS041648	PEAKS039403	GSE61475	None							
EXP036773	THA11_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040550	ALIGNS041649	PEAKS039404	GSE61475	None							
EXP036775	MYC_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040552	ALIGNS041651	PEAKS039406	GSE61475	None							
EXP036776	MYC_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040553	ALIGNS041652	PEAKS039407	GSE61475	None							
EXP036777	MYC_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040554	ALIGNS041653	PEAKS039408	GSE61475	None							
EXP036779	MYC_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040556	ALIGNS041655	PEAKS039410	GSE61475	None							
EXP036780	HAND2_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040557	ALIGNS041656	PEAKS039411	GSE61475	None							
EXP036781	HAND1_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040558	ALIGNS041657	PEAKS039412	GSE61475	None							
EXP036783	HAND1_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040560	ALIGNS041659	PEAKS039414	GSE61475	None							
EXP036785	EOMES_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040564; READS040565	ALIGNS041661	PEAKS039416	GSE61475	None							
EXP036786	EOMES_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040566; READS040567	ALIGNS041662	PEAKS039417	GSE61475	None							
EXP036787	FOXA1_HUMAN	Homo sapiens	455	HUES64 (embryonic stem cells)	READS040568; READS040569; READS040570	ALIGNS041663	PEAKS039418	GSE61475	None							
